web_scraper_order,web_scraper_start_url,data,data2,image,image2
"1775949969-14","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-15","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-16","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-17","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/598595902_1406189648183523_5918896764294763506_n-1.jpg","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/598540850_1406189634850191_3636398175967497536_n.jpg"
"1775949969-18","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-19","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/iconic_royal-romance1-1-scaled.jpg",""
"1775949969-20","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/iconic_rose-scaled.jpg",""
"1775949969-21","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-22","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-23","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-24","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/406237374_818029030332924_3308539018498505822_n.jpg","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/405956234_818029016999592_2125805198216640442_n.jpg"
"1775949969-25","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/CHAT-The-Queen-Iconic-Palette-1.jpg","https://www.nongchatmakeup.com/wp-content/uploads/2023/12/CHAT-The-Queen-Iconic-Palette-6.jpg"
"1775949969-26","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
